
=== LoRA Training run: 2026-08-29T17:04:58 ===
step | epoch | metrics
1125 | 0.2147 | epoch=0.2146741723118023, grad_norm=0.7035752534866333, learning_rate=2.4333333333333336e-05, loss=0.2117827796936035
1150 | 0.2194 | epoch=0.2194447094742868, grad_norm=0.45050567388534546, learning_rate=2.363888888888889e-05, loss=0.24082828521728517
1175 | 0.2242 | epoch=0.2242152466367713, grad_norm=0.4426184296607971, learning_rate=2.2944444444444446e-05, loss=0.26817367553710936
1200 | 0.2290 | epoch=0.2289857837992558, grad_norm=0.4488779604434967, learning_rate=2.2250000000000002e-05, loss=0.22527904510498048
1225 | 0.2338 | epoch=0.2337563209617403, grad_norm=0.6927046775817871, learning_rate=2.1555555555555555e-05, loss=0.23560892105102538
1250 | 0.2385 | epoch=0.23852685812422478, grad_norm=0.8327101469039917, learning_rate=2.086111111111111e-05, loss=0.23506895065307618
1275 | 0.2433 | epoch=0.2432973952867093, grad_norm=0.5694676637649536, learning_rate=2.0166666666666668e-05, loss=0.24415571212768555
1300 | 0.2481 | epoch=0.24806793244919378, grad_norm=0.4819720983505249, learning_rate=1.947222222222222e-05, loss=0.22008771896362306
1325 | 0.2528 | epoch=0.2528384696116783, grad_norm=0.3679148256778717, learning_rate=1.8777777777777777e-05, loss=0.2746926879882812
1350 | 0.2576 | epoch=0.25760900677416276, grad_norm=0.7144252061843872, learning_rate=1.8083333333333337e-05, loss=0.2517745590209961
1375 | 0.2624 | epoch=0.26237954393664725, grad_norm=0.5676944851875305, learning_rate=1.738888888888889e-05, loss=0.27706714630126955
1400 | 0.2672 | epoch=0.26715008109913174, grad_norm=0.9382641911506653, learning_rate=1.6694444444444446e-05, loss=0.2518476486206055
1425 | 0.2719 | epoch=0.27192061826161623, grad_norm=0.9356811046600342, learning_rate=1.6000000000000003e-05, loss=0.21400781631469726
1450 | 0.2767 | epoch=0.2766911554241008, grad_norm=0.6128547191619873, learning_rate=1.5305555555555556e-05, loss=0.26131229400634765
1475 | 0.2815 | epoch=0.28146169258658527, grad_norm=0.4542459547519684, learning_rate=1.4611111111111112e-05, loss=0.2479269027709961
1500 | 0.2862 | epoch=0.28623222974906976, grad_norm=0.5474120378494263, learning_rate=1.3916666666666667e-05, loss=0.25089380264282224
1500 | 0.2862 | epoch=0.28623222974906976, eval_loss=0.2475581020116806, eval_runtime=5811.6521, eval_samples_per_second=0.181, eval_steps_per_second=0.023, eval_wer=0.3888464962482513
1525 | 0.2910 | epoch=0.29100276691155424, grad_norm=0.5524711012840271, learning_rate=1.3222222222222221e-05, loss=0.26166763305664065
1550 | 0.2958 | epoch=0.29577330407403873, grad_norm=0.6824122667312622, learning_rate=1.2527777777777778e-05, loss=0.23276205062866212
1575 | 0.3005 | epoch=0.3005438412365232, grad_norm=0.7304273843765259, learning_rate=1.1833333333333334e-05, loss=0.24614051818847657
1600 | 0.3053 | epoch=0.3053143783990077, grad_norm=0.8924354910850525, learning_rate=1.1138888888888889e-05, loss=0.24541181564331055
1625 | 0.3101 | epoch=0.3100849155614922, grad_norm=0.7169772982597351, learning_rate=1.0444444444444445e-05, loss=0.22312686920166017
