
=== LoRA Training run: 2026-08-26T21:50:11 ===
step | epoch | metrics
800 | 0.1527 | epoch=0.15265718919950386, eval_loss=0.25214311480522156, eval_runtime=1148.1858, eval_samples_per_second=0.918, eval_steps_per_second=0.23, eval_wer=0.39336131247615413
825 | 0.1574 | epoch=0.15742772636198835, grad_norm=0.3731703460216522, learning_rate=9.302639183201696e-05, loss=0.23571403503417968
850 | 0.1622 | epoch=0.16219826352447286, grad_norm=0.5277792811393738, learning_rate=9.278559044500097e-05, loss=0.3112356185913086
875 | 0.1670 | epoch=0.16696880068695735, grad_norm=0.4180188775062561, learning_rate=9.254478905798498e-05, loss=0.2969491767883301
900 | 0.1717 | epoch=0.17173933784944184, grad_norm=0.45331257581710815, learning_rate=9.230398767096899e-05, loss=0.2330658531188965
900 | 0.1717 | epoch=0.17173933784944184, eval_loss=0.2519975006580353, eval_runtime=1123.8409, eval_samples_per_second=0.938, eval_steps_per_second=0.235, eval_wer=0.39336131247615413
925 | 0.1765 | epoch=0.17650987501192633, grad_norm=0.5250217914581299, learning_rate=9.2063186283953e-05, loss=0.3208949279785156
950 | 0.1813 | epoch=0.18128041217441085, grad_norm=0.7069281339645386, learning_rate=9.182238489693701e-05, loss=0.2825303077697754
975 | 0.1861 | epoch=0.18605094933689534, grad_norm=0.6076960563659668, learning_rate=9.158158350992102e-05, loss=0.30347562789916993
1000 | 0.1908 | epoch=0.19082148649937983, grad_norm=0.368818461894989, learning_rate=9.134078212290503e-05, loss=0.27616056442260745
1000 | 0.1908 | epoch=0.19082148649937983, eval_loss=0.25149181485176086, eval_runtime=1077.0258, eval_samples_per_second=0.979, eval_steps_per_second=0.245, eval_wer=0.39813048454788247
1025 | 0.1956 | epoch=0.19559202366186432, grad_norm=0.44533655047416687, learning_rate=9.109998073588904e-05, loss=0.3149392127990723
1050 | 0.2004 | epoch=0.20036256082434883, grad_norm=0.4207950532436371, learning_rate=9.085917934887305e-05, loss=0.2735812759399414
1075 | 0.2051 | epoch=0.20513309798683332, grad_norm=0.4170794188976288, learning_rate=9.061837796185706e-05, loss=0.2613056755065918
1100 | 0.2099 | epoch=0.2099036351493178, grad_norm=0.3587375581264496, learning_rate=9.037757657484107e-05, loss=0.29828094482421874
1100 | 0.2099 | epoch=0.2099036351493178, eval_loss=0.25204676389694214, eval_runtime=1055.8241, eval_samples_per_second=0.998, eval_steps_per_second=0.25, eval_wer=0.39940226376701005
1125 | 0.2147 | epoch=0.2146741723118023, grad_norm=0.46602708101272583, learning_rate=9.013677518782508e-05, loss=0.21257190704345702
1150 | 0.2194 | epoch=0.2194447094742868, grad_norm=0.2815914750099182, learning_rate=8.989597380080909e-05, loss=0.24246679306030272
1175 | 0.2242 | epoch=0.2242152466367713, grad_norm=0.3080509603023529, learning_rate=8.96551724137931e-05, loss=0.2699230194091797
1200 | 0.2290 | epoch=0.2289857837992558, grad_norm=0.28842562437057495, learning_rate=8.941437102677713e-05, loss=0.22692350387573243
